"feature"	"method"	"group1"	"group2"	"group3"	"group4"	"group5"	"group6"	"p_values"	"adj_method"	"p_adjust"	"description"
"ARGSYNBSUB-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.127396457020906	"BH"	0.22585091974903	"L-arginine biosynthesis II (acetyl cycle)"
"ARO-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.201860202100932	"BH"	0.288749290730302	"chorismate biosynthesis I"
"ASPASN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.20348657388913	"BH"	0.289665579834334	"superpathway of L-aspartate and L-asparagine biosynthesis"
"AST-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.100003111113088	"BH"	0.195129178205227	"L-arginine degradation II (AST pathway)"
"BENZCOA-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.100690228112766	"BH"	0.195129178205227	"anaerobic aromatic compound degradation (Thauera aromatica)"
"BIOTIN-BIOSYNTHESIS-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.627191888974933	"BH"	0.642322794522924	"biotin biosynthesis I"
"BRANCHED-CHAIN-AA-SYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.209773889651968	"BH"	0.292025684582495	"superpathway of branched amino acid biosynthesis"
"CALVIN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.233059973166048	"BH"	0.304475958964314	"Calvin-Benson-Bassham cycle"
"CATECHOL-ORTHO-CLEAVAGE-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.038821175992716	"BH"	0.155888365171359	"catechol degradation to &beta;-ketoadipate"
"CENTBENZCOA-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00698374751509818	"BH"	0.0824620035413454	"benzoyl-CoA degradation II (anaerobic)"
"CENTFERM-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0595769463626779	"BH"	0.155888365171359	"pyruvate fermentation to butanoate"
"CHLOROPHYLL-SYN"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0359454750226876	"BH"	0.153250464243068	"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"COA-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.219005193225258	"BH"	0.296222113506145	"coenzyme A biosynthesis I"
"COBALSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.214951564275513	"BH"	0.294791868741142	"adenosylcobalamin salvage from cobinamide I"
"CODH-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.229643833655911	"BH"	0.301364430353252	"reductive acetyl coenzyme A pathway"
"COLANSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0514373869551028	"BH"	0.155888365171359	"colanic acid building blocks biosynthesis"
"COMPLETE-ARO-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.192442931105183	"BH"	0.286098864457773	"superpathway of aromatic amino acid biosynthesis"
"CRNFORCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.132834357908739	"BH"	0.232194457624476	"creatinine degradation I"
"DAPLYSINESYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.151673127097045	"BH"	0.249646540645607	"L-lysine biosynthesis I"
"DENITRIFICATION-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00785253374231088	"BH"	0.0826881263949363	"nitrate reduction I (denitrification)"
"DENOVOPURINE2-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0283301874644815	"BH"	0.141489050536896	"superpathway of purine nucleotides de novo biosynthesis II"
"DHGLUCONATE-PYR-CAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0617193048287632	"BH"	0.1576428693458	"glucose degradation (oxidative)"
"DTDPRHAMSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.138121642404635	"BH"	0.239046169230993	"dTDP-L-rhamnose biosynthesis I"
"ECASYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.912339258922358	"BH"	0.914431780158418	"enterobacterial common antigen biosynthesis"
"ENTBACSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0935649270001039	"BH"	0.188858536254251	"enterobactin biosynthesis"
"FAO-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.106915447949796	"BH"	0.20225995997429	"fatty acid &beta;-oxidation I"
"FASYN-ELONG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.164999171151153	"BH"	0.266068774144109	"fatty acid elongation -- saturated"
"FASYN-INITIAL-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0776952101509301	"BH"	0.1732286063059	"superpathway of fatty acid biosynthesis initiation (E. coli)"
"FERMENTATION-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.219474787501722	"BH"	0.296222113506145	"mixed acid fermentation"
"FOLSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.299966857234314	"BH"	0.36211468677181	"superpathway of tetrahydrofolate biosynthesis and salvage"
"FUC-RHAMCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0759132222664389	"BH"	0.172450284562249	"superpathway of fucose and rhamnose degradation"
"FUCCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0242934428838015	"BH"	0.135426763053738	"fucose degradation"
"GALACT-GLUCUROCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.436571720677327	"BH"	0.475172707188024	"superpathway of hexuronide and hexuronate degradation"
"GALACTARDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.205956358301207	"BH"	0.290090503124073	"D-galactarate degradation I"
"GALACTUROCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0508666101269382	"BH"	0.155888365171359	"D-galacturonate degradation I"
"GALLATE-DEGRADATION-I-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.139489613654316	"BH"	0.2399880360903	"gallate degradation II"
"GALLATE-DEGRADATION-II-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.106067417973346	"BH"	0.201528094149357	"gallate degradation I"
"GLCMANNANAUT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.12133711055268	"BH"	0.218478771802452	"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"GLUCARDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.210792491888548	"BH"	0.292682629859305	"D-glucarate degradation I"
"GLUCARGALACTSUPER-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.20922682489426	"BH"	0.292025684582495	"superpathway of D-glucarate and D-galactarate degradation"
"GLUCONEO-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.227188114242077	"BH"	0.299763544143123	"gluconeogenesis I"
"GLUCOSE1PMETAB-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.273186526443368	"BH"	0.338673793065963	"glucose and glucose-1-phosphate degradation"
"GLUCUROCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.23051454917799	"BH"	0.302053547198746	"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"GLUTORN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.138565989988658	"BH"	0.239341255434955	"L-ornithine biosynthesis"
"GLYCOCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0769261903839443	"BH"	0.172879624091764	"glycogen degradation I (bacterial)"
"GLYCOGENSYNTH-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.301286796575783	"BH"	0.362706143536136	"glycogen biosynthesis I (from ADP-D-Glucose)"
"GLYCOL-GLYOXDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.148358995539175	"BH"	0.246982404002361	"superpathway of glycol metabolism and degradation"
"GLYCOLYSIS"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.211855001449595	"BH"	0.293339713266568	"glycolysis I (from glucose 6-phosphate)"
"GLYCOLYSIS-E-D"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.30935992502829	"BH"	0.369877666860089	"superpathway of glycolysis and Entner-Doudoroff"
"GLYCOLYSIS-TCA-GLYOX-BYPASS"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.341918219734572	"BH"	0.396733670702532	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"GLYOXYLATE-BYPASS"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.174944828676193	"BH"	0.275498703176564	"glyoxylate cycle"
"GOLPDLCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0596945549330386	"BH"	0.155888365171359	"superpathway of glycerol degradation to 1,3-propanediol"
"HCAMHPDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0769452789149841	"BH"	0.172879624091764	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate"
"HEME-BIOSYNTHESIS-II"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0487808766854294	"BH"	0.155888365171359	"heme biosynthesis I (aerobic)"
"HEMESYN2-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.194789119919311	"BH"	0.286453893161647	"heme biosynthesis II (anaerobic)"
"HEXITOLDEGSUPER-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0204859115814951	"BH"	0.133123819915776	"superpathway of hexitol degradation (bacteria)"
"HISDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.177115287218956	"BH"	0.277417134461231	"L-histidine degradation I"
"HISTSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.163487489564603	"BH"	0.265098452466536	"L-histidine biosynthesis"
"HOMOSER-METSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.155060877789889	"BH"	0.253788777506298	"L-methionine biosynthesis I"
"HSERMETANA-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.275666776537768	"BH"	0.341264536393781	"L-methionine biosynthesis III"
"ILEUSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.193242600908879	"BH"	0.28626107321078	"L-isoleucine biosynthesis I (from threonine)"
"KDO-NAGLIPASYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0661844098031305	"BH"	0.160395330471886	"superpathway of (Kdo)2-lipid A biosynthesis"
"KETOGLUCONMET-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.542341562951423	"BH"	0.563817259467059	"ketogluconate metabolism"
"LACTOSECAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.20961913509778	"BH"	0.292025684582495	"lactose and galactose degradation I"
"LEU-DEG2-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.065412567363818	"BH"	0.160395330471886	"L-leucine degradation I"
"LIPASYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.021184122176567	"BH"	0.133123819915776	"phospholipases"
"LPSSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.314831125634792	"BH"	0.372848785643371	"superpathway of lipopolysaccharide biosynthesis"
"MET-SAM-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.18943310969632	"BH"	0.285340004926523	"superpathway of S-adenosyl-L-methionine biosynthesis"
"METH-ACETATE-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0136823878798828	"BH"	0.114171165588232	"methanogenesis from acetate"
"METHANOGENESIS-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.686237297612934	"BH"	0.697420940684126	"methanogenesis from H2 and CO2"
"METHGLYUT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0648953671691406	"BH"	0.159961818318212	"superpathway of methylglyoxal degradation"
"METHYLGALLATE-DEGRADATION-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.139819017720059	"BH"	0.240082164022262	"methylgallate degradation"
"NAD-BIOSYNTHESIS-II"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0056829091134649	"BH"	0.0764132702333588	"NAD salvage pathway II"
"NADSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.462670888316633	"BH"	0.497385432212469	"NAD biosynthesis II (from tryptophan)"
"NAGLIPASYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0555251875859532	"BH"	0.155888365171359	"lipid IVA biosynthesis"
"NONMEVIPP-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.205366027296452	"BH"	0.290090503124073	"methylerythritol phosphate pathway I"
"NONOXIPENT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.1836308503061	"BH"	0.282558737971006	"pentose phosphate pathway (non-oxidative branch)"
"OANTIGEN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.1437120592997	"BH"	0.244842767695786	"O-antigen building blocks biosynthesis (E. coli)"
"ORNARGDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.639349813126249	"BH"	0.653557586751277	"superpathway of L-arginine and L-ornithine degradation"
"ORNDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.627624332405694	"BH"	0.642322794522924	"superpathway of ornithine degradation"
"P101-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.078560930743013	"BH"	0.17437257801773	"ectoine biosynthesis"
"P105-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.249494385999092	"BH"	0.319951527845902	"TCA cycle IV (2-oxoglutarate decarboxylase)"
"P108-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.190988447233428	"BH"	0.285340004926523	"pyruvate fermentation to propanoate I"
"P122-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0271268163621357	"BH"	0.138712014887427	"heterolactic fermentation"
"P124-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0483151059484022	"BH"	0.155888365171359	"Bifidobacterium shunt"
"P125-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0342920258740059	"BH"	0.151639768554002	"superpathway of (R,R)-butanediol biosynthesis"
"P161-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0568585848799022	"BH"	0.155888365171359	"acetylene degradation"
"P162-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00459807166513209	"BH"	0.0738521328615582	"L-glutamate degradation V (via hydroxyglutarate)"
"P163-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.503046832308281	"BH"	0.531635950952161	"L-lysine fermentation to acetate and butanoate"
"P164-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0321181411770125	"BH"	0.146969923501094	"purine nucleobases degradation I (anaerobic)"
"P184-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0467997183664464	"BH"	0.155888365171359	"protocatechuate degradation I (meta-cleavage pathway)"
"P221-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.335063369591382	"BH"	0.390981822460437	"octane oxidation"
"P23-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.136694991712141	"BH"	0.237990881984883	"reductive TCA cycle I"
"P241-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.089779354568821	"BH"	0.184628602101528	"coenzyme B biosynthesis"
"P261-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.142130373062866	"BH"	0.24309578484725	"coenzyme M biosynthesis I"
"P281-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0216264756615152	"BH"	0.133123819915776	"3-phenylpropanoate degradation"
"P341-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.388517691766815	"BH"	0.436458178154494	"glycolysis V (Pyrococcus)"
