"feature"	"method"	"group1"	"group2"	"p_values"	"adj_method"	"p_adjust"	"description"
"COBALSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.980981975373852"	"BH"	1	"adenosylcobalamin salvage from cobinamide I"
"CODH-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.835329378692347"	"BH"	0.979302035874782	"reductive acetyl coenzyme A pathway"
"COLANSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.544254001528961"	"BH"	0.90051230747601	"colanic acid building blocks biosynthesis"
"COMPLETE-ARO-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.790033917898879"	"BH"	0.974921803206048	"superpathway of aromatic amino acid biosynthesis"
"CRNFORCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.779442766960599"	"BH"	0.973004634817506	"creatinine degradation I"
"DAPLYSINESYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.887858122536259"	"BH"	0.988519174261056	"L-lysine biosynthesis I"
"DENITRIFICATION-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0187612498960603"	"BH"	0.182734016446769	"nitrate reduction I (denitrification)"
"DENOVOPURINE2-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.35552738757727"	"BH"	0.790947320022524	"superpathway of purine nucleotides de novo biosynthesis II"
"DHGLUCONATE-PYR-CAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.143646323920692"	"BH"	0.545280822875615	"glucose degradation (oxidative)"
"DTDPRHAMSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.593439383279622"	"BH"	0.928737404197551	"dTDP-L-rhamnose biosynthesis I"
"ECASYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.399596470883407"	"BH"	0.825773917604266	"enterobacterial common antigen biosynthesis"
"ENTBACSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.598071565663417"	"BH"	0.928774961602392	"enterobactin biosynthesis"
"FAO-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.899456748063967"	"BH"	0.989408256828831	"fatty acid &beta;-oxidation I"
"FASYN-ELONG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.592601919440741"	"BH"	0.928641066682777	"fatty acid elongation -- saturated"
"FASYN-INITIAL-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.248776255909184"	"BH"	0.694637657569524	"superpathway of fatty acid biosynthesis initiation (E. coli)"
"FERMENTATION-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.168475584070056"	"BH"	0.590665931830522	"mixed acid fermentation"
"FOLSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.477306686025317"	"BH"	0.865250366951314	"superpathway of tetrahydrofolate biosynthesis and salvage"
"FUC-RHAMCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.535362562536279"	"BH"	0.895892261935536	"superpathway of fucose and rhamnose degradation"
"FUCCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"3.32645384149011e-06"	"BH"	0.000131354848981733	"fucose degradation"
"GALACT-GLUCUROCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.00995316051355566"	"BH"	0.115066961492694	"superpathway of hexuronide and hexuronate degradation"
"GALACTARDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.109658258548636"	"BH"	0.489296063001658	"D-galactarate degradation I"
"GALACTUROCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0448667746426381"	"BH"	0.314604471526273	"D-galacturonate degradation I"
"GALLATE-DEGRADATION-I-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.188465365766751"	"BH"	0.625514163342305	"gallate degradation II"
"GALLATE-DEGRADATION-II-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.404471968776758"	"BH"	0.828809518299908	"gallate degradation I"
"GLCMANNANAUT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.732822878304992"	"BH"	0.964614062659449	"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"GLUCARDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.87477217424926"	"BH"	0.987945366948195	"D-glucarate degradation I"
"GLUCARGALACTSUPER-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.109658258548636"	"BH"	0.489296063001658	"superpathway of D-glucarate and D-galactarate degradation"
"GLUCONEO-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.791036879865513"	"BH"	0.974921803206048	"gluconeogenesis I"
"GLUCOSE1PMETAB-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.359822638426273"	"BH"	0.795176244007854	"glucose and glucose-1-phosphate degradation"
"GLUCUROCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.271546563275931"	"BH"	0.718896495264026	"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"GLUTORN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.815659144084161"	"BH"	0.979302035874782	"L-ornithine biosynthesis"
"GLYCOCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.451860861339601"	"BH"	0.853469361336739	"glycogen degradation I (bacterial)"
"GLYCOGENSYNTH-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.517479456815709"	"BH"	0.892182493273796	"glycogen biosynthesis I (from ADP-D-Glucose)"
"GLYCOL-GLYOXDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.323617977206762"	"BH"	0.762429745027164	"superpathway of glycol metabolism and degradation"
"GLYCOLYSIS"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.848040520860731"	"BH"	0.982802555304009	"glycolysis I (from glucose 6-phosphate)"
"GLYCOLYSIS-E-D"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.742491447395361"	"BH"	0.968949121576068	"superpathway of glycolysis and Entner-Doudoroff"
"GLYCOLYSIS-TCA-GLYOX-BYPASS"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.53605545102348"	"BH"	0.896099029879189	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"GLYOXYLATE-BYPASS"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.684128667583291"	"BH"	0.9599809752644	"glyoxylate cycle"
"GOLPDLCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.00466433312299608"	"BH"	0.066036076935722	"superpathway of glycerol degradation to 1,3-propanediol"
"HCAMHPDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.308392976160927"	"BH"	0.753734511086829	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate"
"HEME-BIOSYNTHESIS-II"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.990353755307857"	"BH"	1	"heme biosynthesis I (aerobic)"
"HEMESYN2-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.619659091032674"	"BH"	0.93602596924054	"heme biosynthesis II (anaerobic)"
"HEXITOLDEGSUPER-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.879084294526236"	"BH"	0.988519174261056	"superpathway of hexitol degradation (bacteria)"
"HISDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.623836627820263"	"BH"	0.93602596924054	"L-histidine degradation I"
"HISTSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.851384605145258"	"BH"	0.983232221058345	"L-histidine biosynthesis"
"HOMOSER-METSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.886267179471854"	"BH"	0.988519174261056	"L-methionine biosynthesis I"
"HSERMETANA-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.479542929378145"	"BH"	0.86738518269143	"L-methionine biosynthesis III"
"ILEUSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.729153136474469"	"BH"	0.964211984988934	"L-isoleucine biosynthesis I (from threonine)"
"KDO-NAGLIPASYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.525624250654724"	"BH"	0.893267681733962	"superpathway of (Kdo)2-lipid A biosynthesis"
"KETOGLUCONMET-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.115057658957104"	"BH"	0.498152545880989	"ketogluconate metabolism"
"LACTOSECAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.220783089824653"	"BH"	0.668428898498428	"lactose and galactose degradation I"
"LEU-DEG2-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.432509910427475"	"BH"	0.845660318981188	"L-leucine degradation I"
"LIPASYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.384616543042427"	"BH"	0.817019272655721	"phospholipases"
"LPSSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"1"	"BH"	1	"superpathway of lipopolysaccharide biosynthesis"
"MET-SAM-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.784254020597102"	"BH"	0.974371702997347	"superpathway of S-adenosyl-L-methionine biosynthesis"
"METH-ACETATE-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.00152547940012893"	"BH"	0.0261084006993346	"methanogenesis from acetate"
"METHANOGENESIS-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.819908885979499"	"BH"	0.979302035874782	"methanogenesis from H2 and CO2"
"METHGLYUT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.541975752643309"	"BH"	0.899436609211869	"superpathway of methylglyoxal degradation"
"METHYLGALLATE-DEGRADATION-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.188994616012864"	"BH"	0.625686721194103	"methylgallate degradation"
"NAD-BIOSYNTHESIS-II"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0760064077051787"	"BH"	0.402862856270082	"NAD salvage pathway II"
"NADSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.100528390697312"	"BH"	0.469013239160769	"NAD biosynthesis II (from tryptophan)"
"NAGLIPASYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.292029192736257"	"BH"	0.737694894069078	"lipid IVA biosynthesis"
"NONMEVIPP-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.790681284151492"	"BH"	0.974921803206048	"methylerythritol phosphate pathway I"
"NONOXIPENT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.872944475714463"	"BH"	0.987754674466612	"pentose phosphate pathway (non-oxidative branch)"
"OANTIGEN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.872009585397917"	"BH"	0.987727296224704	"O-antigen building blocks biosynthesis (E. coli)"
"ORNARGDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.526876692367275"	"BH"	0.893585584510458	"superpathway of L-arginine and L-ornithine degradation"
"ORNDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0950781702644448"	"BH"	0.455238119702055	"superpathway of ornithine degradation"
"P101-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.259534902514567"	"BH"	0.70791447419411	"ectoine biosynthesis"
"P105-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.62164618938452"	"BH"	0.93602596924054	"TCA cycle IV (2-oxoglutarate decarboxylase)"
"P108-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.848913511537956"	"BH"	0.982802555304009	"pyruvate fermentation to propanoate I"
"P122-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.755259756356681"	"BH"	0.970646559454354	"heterolactic fermentation"
"P124-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.392443797317713"	"BH"	0.823749326969025	"Bifidobacterium shunt"
"P125-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.354022135486249"	"BH"	0.790131119547961	"superpathway of (R,R)-butanediol biosynthesis"
"P161-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.790290083810739"	"BH"	0.974921803206048	"acetylene degradation"
"P162-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"4.4137674766187e-06"	"BH"	0.00016919441993705	"L-glutamate degradation V (via hydroxyglutarate)"
"P163-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.697200956966674"	"BH"	0.961554959099865	"L-lysine fermentation to acetate and butanoate"
"P164-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.608885681912686"	"BH"	0.933188133022599	"purine nucleobases degradation I (anaerobic)"
"P184-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.090410743133355"	"BH"	0.443262843110802	"protocatechuate degradation I (meta-cleavage pathway)"
"P221-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.597891391719007"	"BH"	0.928737404197551	"octane oxidation"
"P23-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.561965742474265"	"BH"	0.909911769349018	"reductive TCA cycle I"
"P241-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.529371422196473"	"BH"	0.894337544458217	"coenzyme B biosynthesis"
"P261-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.724589342312675"	"BH"	0.963088543830167	"coenzyme M biosynthesis I"
"P281-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.75555825536184"	"BH"	0.970646559454354	"3-phenylpropanoate degradation"
"P341-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0"	"BH"	0	"glycolysis V (Pyrococcus)"
"P381-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.759260399896777"	"BH"	0.970908903824047	"adenosylcobalamin biosynthesis II (late cobalt incorporation)"
"P4-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.701127915244936"	"BH"	0.961554959099865	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"P42-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.611546664848958"	"BH"	0.934407485418822	"incomplete reductive TCA cycle"
"P441-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.603603685117135"	"BH"	0.932174725000629	"superpathway of N-acetylneuraminate degradation"
"P461-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.069425763028943"	"BH"	0.388725444432258	"hexitol fermentation to lactate, formate, ethanol and acetate"
"P562-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.760629008855725"	"BH"	0.970908903824047	"myo-inositol degradation I"
"P621-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.512564208305741"	"BH"	0.888687770634489	"nylon-6 oligomer degradation"
"PANTO-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.813403369695414"	"BH"	0.978752645090354	"phosphopantothenate biosynthesis I"
"PANTOSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.782916999905488"	"BH"	0.97414256667739	"pantothenate and coenzyme A biosynthesis I"
"PENTOSE-P-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.754554107756086"	"BH"	0.970646559454354	"pentose phosphate pathway"
"PEPTIDOGLYCANSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.802429388670032"	"BH"	0.978226639898096	"peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"PHOSLIPSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.831883138644351"	"BH"	0.979302035874782	"superpathway of phospholipid biosynthesis I (bacteria)"
"POLYAMINSYN3-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.525589100560444"	"BH"	0.893267681733962	"superpathway of polyamine biosynthesis II"
"POLYAMSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.615924816567227"	"BH"	0.93602596924054	"superpathway of polyamine biosynthesis I"
"POLYISOPRENSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.669092128379221"	"BH"	0.953470598935137	"polyisoprenoid biosynthesis (E. coli)"
"PPGPPMET-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.519011270873982"	"BH"	0.892944588078465	"ppGpp biosynthesis"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.606049624556252"	"BH"	0.932329333247179	"protocatechuate degradation II (ortho-cleavage pathway)"
"PRPP-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.344076720503472"	"BH"	0.782861125616195	"superpathway of histidine, purine, and pyrimidine biosynthesis"
"PWY-1269"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.369688764721121"	"BH"	0.803212710913544	"CMP-3-deoxy-D-manno-octulosonate biosynthesis I"
"PWY-1361"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.961604864497643"	"BH"	1	"benzoyl-CoA degradation I (aerobic)"
"PWY-1422"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.659577367110765"	"BH"	0.946274817555497	"vitamin E biosynthesis (tocopherols)"
"PWY-1501"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.840398834619678"	"BH"	0.980747222908396	"mandelate degradation I"
"PWY-1541"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.831026062067455"	"BH"	0.979302035874782	"superpathway of taurine degradation"
"PWY-1622"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.91821039431267"	"BH"	0.992807524008254	"formaldehyde assimilation I (serine pathway)"
"PWY-181"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.248916177117587"	"BH"	0.694637657569524	"photorespiration"
"PWY-1861"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0439922977559772"	"BH"	0.311115645822681	"formaldehyde assimilation II (RuMP Cycle)"
"PWY-1882"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.533929026724852"	"BH"	0.895892261935536	"superpathway of C1 compounds oxidation to CO2"
"PWY-2221"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.795465179497877"	"BH"	0.975393248892262	"Entner-Doudoroff pathway III (semi-phosphorylative)"
"PWY-2941"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.228911557024117"	"BH"	0.678352285846784	"L-lysine biosynthesis II"
"PWY-2942"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.713694971324336"	"BH"	0.961554959099865	"L-lysine biosynthesis III"
"PWY-3001"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.674939050469272"	"BH"	0.955349919202349	"superpathway of L-isoleucine biosynthesis I"
"PWY-3081"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.486824500768112"	"BH"	0.872132987847766	"L-lysine biosynthesis V"
"PWY-3661"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.974727648790003"	"BH"	1	"glycine betaine degradation I"
"PWY-3781"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.827716477487509"	"BH"	0.979302035874782	"aerobic respiration I (cytochrome c)"
"PWY-3801"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.441857950996746"	"BH"	0.850392231328977	"sucrose degradation II (sucrose synthase)"
"PWY-3941"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.819235889601887"	"BH"	0.979302035874782	"&beta;-alanine biosynthesis II"
"PWY-4361"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.229846871525023"	"BH"	0.678938128602679	"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation"
"PWY-4722"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.754754616773895"	"BH"	0.970646559454354	"creatinine degradation II"
"PWY-4984"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.889766335958872"	"BH"	0.988713058520157	"urea cycle"
"PWY-5005"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.174253921602147"	"BH"	0.602627960568735	"biotin biosynthesis II"
"PWY-5022"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.752832182416611"	"BH"	0.970646559454354	"4-aminobutanoate degradation V"
"PWY-5028"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.706604541590012"	"BH"	0.961554959099865	"L-histidine degradation II"
"PWY-5088"	"metagenomeSeq"	"Equine"	"Equine+c"	"0"	"BH"	0	"L-glutamate degradation VIII (to propanoate)"
"PWY-5097"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.701849901567253"	"BH"	0.961554959099865	"L-lysine biosynthesis VI"
"PWY-5100"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.525587673402572"	"BH"	0.893267681733962	"pyruvate fermentation to acetate and lactate II"
"PWY-5101"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.740656439549683"	"BH"	0.968144096946573	"L-isoleucine biosynthesis II"
"PWY-5103"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.783245812854323"	"BH"	0.97414256667739	"L-isoleucine biosynthesis III"
"PWY-5104"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.524830228156864"	"BH"	0.893267681733962	"L-isoleucine biosynthesis IV"
"PWY-5121"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.815120679790424"	"BH"	0.979302035874782	"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"PWY-5154"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.665249729864482"	"BH"	0.95068937549085	"L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"PWY-5177"	"metagenomeSeq"	"Equine"	"Equine+c"	"3.54236614819037e-06"	"BH"	0.000139043174259808	"glutaryl-CoA degradation"
"PWY-5178"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.411559278713357"	"BH"	0.834964739079559	"toluene degradation IV (aerobic) (via catechol)"
"PWY-5180"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.910333272875747"	"BH"	0.99168560708406	"toluene degradation I (aerobic) (via o-cresol)"
"PWY-5181"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.896909883115979"	"BH"	0.989408256828831	"toluene degradation III (aerobic) (via p-cresol)"
"PWY-5182"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.910333272875747"	"BH"	0.99168560708406	"toluene degradation II (aerobic) (via 4-methylcatechol)"
"PWY-5183"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.65356445496312"	"BH"	0.944261627128775	"superpathway of aerobic toluene degradation"
"PWY-5184"	"metagenomeSeq"	"Equine"	"Equine+c"	"0"	"BH"	0	"toluene degradation VI (anaerobic)"
"PWY-5188"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.798328880883798"	"BH"	0.975950356992409	"tetrapyrrole biosynthesis I (from glutamate)"
"PWY-5189"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.762233017402535"	"BH"	0.970908903824047	"tetrapyrrole biosynthesis II (from glycine)"
"PWY-5198"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0724086535876178"	"BH"	0.393465361460621	"factor 420 biosynthesis"
"PWY-5265"	"metagenomeSeq"	"Equine"	"Equine+c"	"1"	"BH"	1	"peptidoglycan biosynthesis II (staphylococci)"
"PWY-5304"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.910182795661678"	"BH"	0.99168560708406	"superpathway of sulfur oxidation (Acidianus ambivalens)"
"PWY-5345"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.509181698794281"	"BH"	0.886503595111955	"superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"PWY-5347"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.690325236137387"	"BH"	0.961149626658825	"superpathway of L-methionine biosynthesis (transsulfuration)"
"PWY-5384"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.360715403439959"	"BH"	0.795554554146423	"sucrose degradation IV (sucrose phosphorylase)"
